,tau,kappa,beta,sigma,delta_t,avg_reward
425,1.0,1000.0,0.005,0.5,1.0,2.0943931538461746
426,1.0,1000.0,0.005,0.5,2.0,2.3915460294678725
427,1.0,1000.0,0.005,0.5,3.0,2.25980645234257
428,1.0,1000.0,0.005,0.5,4.0,2.3069459482196963
429,1.0,1000.0,0.005,0.5,5.0,2.0010400533910007
430,1.0,1000.0,0.005,2.875,1.0,1.9229130942519082
431,1.0,1000.0,0.005,2.875,2.0,2.4139586179991084
432,1.0,1000.0,0.005,2.875,3.0,2.0283842635779985
433,1.0,1000.0,0.005,2.875,4.0,2.249765868076744
434,1.0,1000.0,0.005,2.875,5.0,2.0502874888716525
435,1.0,1000.0,0.005,5.25,1.0,2.380098733280602
436,1.0,1000.0,0.005,5.25,2.0,2.0781225920953794
437,1.0,1000.0,0.005,5.25,3.0,2.576736386754226
438,1.0,1000.0,0.005,5.25,4.0,2.283289251008203
439,1.0,1000.0,0.005,5.25,5.0,1.99742575165665
440,1.0,1000.0,0.005,7.625,1.0,2.182285076652576
441,1.0,1000.0,0.005,7.625,2.0,2.3474542779210603
442,1.0,1000.0,0.005,7.625,3.0,2.1728643830624703
443,1.0,1000.0,0.005,7.625,4.0,2.1489290014437237
